a52dec 0.7.4-9
aalib 1.4rc5-12
abook 0.6.1-2
acl 2.2.52-3
acpid 2.0.28-1
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alsa-lib 1.1.3-1
alsa-utils 1.1.3-2
antergos-keyring 20150806-1
antergos-mirrorlist 20170321-1
antergos-repo-priority 1.0.6-2
arc-gtk-theme 20170302-1
archlinux-keyring 20170320-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.24.0-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
b43-firmware 6.30.163.46-7
b43-fwcutter 019-1
babl 0.1.24-1
bash 4.4.012-2
bash-completion 2.5-1
bind-tools 9.11.0.P3-3
binutils 2.28.0-2
bison 3.0.4-2
bluez-libs 5.44-1
btrfs-progs 4.10.2-1
bzip2 1.0.6-6
bzr 2.7.0-2
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.29.3-2
ca-certificates-utils 20170307-1
cabextract 1.6-1
cairo 1.14.8-1
cairomm 1.12.2-1
cantarell-fonts 1:0.0.25-3
cdparanoia 10.2-5
chromium 57.0.2987.133-1
cmake 3.7.2-1
cmus 2.7.1-8
compositeproto 0.4.2-3
coreutils 8.26-1
cower 16-1
cracklib 2.9.6-1
crda 3.18-1
cryptsetup 1.7.4-1
curl 7.53.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.16-2
dbus-glib 0.108-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.169-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
ding-libs 0.6.0-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170228-1
dosfstools 4.1-1
e2fsprogs 1.43.4-1
exfat-utils 1.2.6-1
exo 0.10.7-2
expac 8-1
expat 2.2.0-2
f2fs-tools 1.8.0-1
fakeroot 1.21-2
ffmpeg 1:3.3-1
fftw 3.3.6-2
file 5.30-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 52.0.2-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.3-2
fontconfig 2.12.1-4
fontsproto 2.1.3-1
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
garcon 0.4.0-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-2
gcc-libs 6.3.1-2
gcr 3.20.0+11+g8322f27-1
gdbm 1.13-1
gdk-pixbuf2 2.36.5-1
gegl02 0.2.0-7
geoip 1.6.9-1
geoip-database 20170404-1
gettext 0.19.8.1-2
giflib 5.1.4-1
gimp 2.8.20-1
git 2.12.2-2
glib-networking 2.50.0-1
glib2 2.50.3-1
glibc 2.25-1
glibmm 2.50.0-1
gmime 2.6.23-2
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.20.0+16+gbf8aa97-1
gnome-themes-standard 3.22.2-1
gnupg 2.1.20-1
gnutls 3.5.10-1
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
gpgme 1.9.0-1
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 3.0-1
grilo 0.3.3-1
groff 1.22.3-7
grub 1:2.02.rc2-1
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsm 1.0.16-1
gssproxy 0.6.2-1
gst-plugins-base 1.10.4-1
gst-plugins-base-libs 1.10.4-1
gst-plugins-good 1.10.4-1
gst-plugins-ugly 1.10.4-1
gstreamer 1.10.4-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.10-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.22.10-1
gtkmm3 3.22.0-1
gtksourceview2 2.10.5-3
guile 2.0.14-1
gzip 1.8-2
harfbuzz 1.4.5-1
harfbuzz-icu 1.4.5-1
haveged 1.9.1-2
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hunspell 1.5.4-1
hwids 20161103-1
i3lock 2.8-1
iana-etc 20170224-1
icu 58.2-1
idnkit 1.0-3
ilmbase 2.2.0-2
imlib2 1.4.9-1
inetutils 1.9.4-5
inputproto 2.3.2-1
iproute2 4.10.0-3
iptables 1.6.1-1
iputils 20161105.1f2bb12-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
iso-codes 3.74-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-1
jasper 2.0.12-1
jemalloc 4.5.0-1
jfsutils 1.1.15-4
js 24.2.0-4
json-c 0.12.1-1
json-glib 1.2.6+7+gf98d547-1
jsoncpp 1.8.0-1
kbd 2.0.4-1
kbproto 1.0.7-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.13.7-1
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-2
ldns 1.7.0-2
less 487-1
lib32-aalib 1.4rc5-1
lib32-alsa-lib 1.1.3-1
